x,y
15.5744,0.7481
-5.2856,-0.1979
-20.4369,-0.9517
-14.2387,0.7452
4.2694,0.9718
-6.105,-1.9615
2.2701,-1.3166
-8.3836,0.1567
2.2766,0.5981
-3.6593,0.7108
-6.7289,1.3285
-7.9612,-0.492
-23.1959,-0.662
-1.3507,-0.3657
29.4542,0.611
-6.2878,1.2118
3.1123,1.0254
0.6911,0.9672
12.1357,-0.2352
-8.5574,-2.2714
-26.1393,-1.6457
24.9166,-0.7791
-0.7213,0.4719
-18.0083,-0.8439
22.6329,-0.6631
9.3021,-2.3607
-6.4201,-1.7843
1.142,-1.918
4.9223,0.8513
5.3315,-0.9345
-0.7942,1.8393
8.1987,-0.0459
-17.3645,-1.5128
-6.442,1.8105
-0.6285,0.5967
12.7261,-0.6211
-2.1197,0.308
14.2123,1.3338
-3.6269,1.4158
8.7285,-0.0607
-0.9032,-1.0759
2.4154,-0.1987
-20.4806,-0.8113
10.5202,-0.6649
0.6911,-0.1734
0.4583,0.293
-10.7075,-0.7518
-13.0712,-0.9803
-2.9813,-0.7276
-7.5096,-0.8188
6.6229,-0.0709
-18.1784,0.2853
-0.5424,0.3378
-5.8039,2.4011
-10.6839,0.849
-0.2378,-0.6865
-1.3021,0.3684
-3.1135,-0.1595
-1.4876,0.2622
-3.255,0.746
-11.8208,0.7306
-0.0644,0.6549
0.0527,20.3606
-1.2054,5.8634
-1.7032,-0.3301
-1.0996,14.2831
-0.6729,-7.1265
-0.6668,5.2705
0.9956,-3.9536
-0.2557,-5.0283
0.4542,-8.0285
0.2945,-9.8237
0.7068,-5.8497
0.7633,-9.4096
-0.1885,-9.6668
1.4388,-21.0666
-0.9335,-4.0295
0.4112,-16.88
1.3364,3.5043
0.4637,-3.7623
-1.349,-0.7328
-1.0545,-2.6985
1.1549,-19.5552
-0.603,2.4229
-0.8549,-5.2802
-0.9132,1.5672
-0.3407,12.3973
-1.5683,4.1796
-2.5797,-13.3173
-0.9497,2.102
-1.9613,-14.2299
-2.0188,15.9336
-0.1704,9.843
-0.429,-0.1817
-0.4363,-4.7461
-0.6251,14.6715
-0.5997,-8.5876
0.1951,5.2123
-0.4401,-25.7267
0.6009,-8.0292
